uid,name,duration_days,is_milestone,outline_level,constraint_type,constraint_date,calendar,predecessors,start,finish
168,Customer plans in place (Distribution Shelving merch),1655.700,no,4,,,,167:FS:0,,
169,Distribution Priorities,551.900,no,4,,,,168:FS:0,,
170,"Overall selling framework (incl. category growth, profitability, differentiation, External Relations story etc.)",17873.300,no,4,,,,964:FS:0,,
171,Identify Sales Samples needs/production strategy,5598.200,no,3,,,,,,
172,Bundling Strategy updated,551.900,no,3,,,,173:FS:0;174:FS:0,,
173,Pricing within the Bundle,1103.800,no,4,,,,85:FS:0;436:FS:0,,
174,Selling Strategy Inputs,4008.300,no,4,,,,170:FS:0,,
175,Volume forecast agreed by Region,551.900,no,3,,,,569:FS:0;168:FS:0,,
176,Pricing guidelines locked,551.900,no,3,,,,436:FS:0;173:FS:0,,
177,"Pricing & Sizing Strategy: Rationale Including Competitive Benchmarking,  Customer Differentiation",3456.400,no,3,,,,436:FS:0;174:FS:0,,
178,Inventory Management,551.900,no,3,,,,179:FS:0;180:FS:0;181:FS:0,,
179,Runout plan,7464.700,no,4,,,,76:FS:0;143:FS:0,,
180,Inventory mgmt plan,4008.300,no,4,,,,179:FS:0,,
181,Develop transition plans and associated costs,551.900,no,4,,,,180:FS:0,,
182,Update Customer Value Assessment (CVA),551.900,no,3,,,,,,
183,PC Commercial Readiness,551.900,no,2,,,,184:FS:0;185:FS:0;186:FS:0;187:FS:0,,
184,Shopper Market strategy developed,551.900,no,3,,,,166:FS:0;964:FS:0,,
185,Initiative toolbox elements complete,1248.800,no,3,,,,90:FS:0,,
186,Trial Potential Assessment (TPA) completed,551.900,no,3,,,,306:FS:0,,
187,Media Neutral Idea (MNI) Locked - Regional Updates,551.900,no,3,,,,188:FS:0;194:FS:0;199:FS:0;210:FS:0;222:FS:0;241:FS:0,,
188,Path to Purchase (P2P) Development,551.900,no,4,,,,,,
194,Creative Development,551.900,no,4,,,,,,
199,Concept Update work,551.900,no,4,,,,,,
210,Update on Base Scope,551.900,no,4,,,,209:FS:0,,
222,Commercialization Strategy Definition & Approval,551.900,no,4,,,,,,
241,Pre Table Top,551.900,no,4,,,,,,
681,PC Technical Readiness,551.900,no,2,,,,682:FS:0;695:FS:0;723:FS:0;912:FS:0;920:FS:0;926:FS:0,,
682,General Technical Readiness,551.900,no,3,,,,683:FS:0;684:FS:0;685:FS:0;686:FS:0;687:FS:0;688:FS:0;689:FS:0;690:FS:0;691:FS:0;692:FS:0;693:FS:0;694:FS:0,,
683,GTRO/dTRM update to get to PC,551.900,no,4,,,,702:FS:0,,
684,Freedom to Practice issues identified & execute IP strategy,551.900,no,4,,,,110:FS:0,,
685,Technical learning plan updated,551.900,no,4,,,,133:FS:0;702:FS:0,,
686,GTRO/dTRM Updated,551.900,no,4,,,,,,
687,TFS finalized,1248.800,no,4,,,,702:FS:0;114:FS:0,,
688,QEC expanded,551.900,no,4,,,,134:FS:0;702:FS:0,,
689,Process flowchart final,1248.800,no,4,,,,702:FS:0;115:FS:0,,
690,Initiative Start-up (ISU) risk assessment #1,1800.700,no,4,,,,702:FS:0,,
691,Initiative Start Up risk assessment #2,1103.800,no,4,,,,1224:FS:0,,
692,Overall Risk Assessment (ORA) develop/update,551.900,no,4,,,,702:FS:0;1224:FS:0,,
693,Checklist Based Design Review (CBDP),3194.500,no,4,,,,702:FS:0,,
694,Patent design Trademark application complete,551.900,no,4,,,,110:FS:0,,
695,Product PC Tech Ready,551.900,no,3,,,,696:FS:0;701:FS:0;707:FS:0;714:FS:0;718:FS:0;719:FS:0,,
696,Define Final Formulas,551.900,no,4,,,,,,
701,Develop Initial Formulas,551.900,no,4,,,,,,
707,Lock Final Formulas,551.900,no,4,,,,,,
714,Preliminary Stability - Physical,551.900,no,4,,,,,,
718,Preliminary formula card,2904.500,no,4,,,,569:FS:0;708:FS:0;709:FS:0;710:FS:0;716:FS:0;717:FS:0;712:FS:0;679:FS:0,,
719,Initial POC/Claims Approval to support Package,551.900,no,4,,,,,,
723,Package PC Tech Ready,551.900,no,3,,,,743:FS:0;811:FS:0,,
743,"Primary Pack Development Portion 2 (new to world), Qualification and Production",551.900,no,4,,,,,,
811,New Primary Pack Design,551.900,no,4,,,,,,
912,Packing PC Readiness,551.900,no,3,,,,913:FS:0;914:FS:0;915:FS:0;918:FS:0;919:FS:0,,
913,30% Design Basis Development & Sign-off,551.900,no,4,,,,,,
914,Lead Line Determination,551.900,no,4,,,,,,
915,Testing for Transformations,551.900,no,4,,,,,,
918,Run Macro Trials at Labs/Sites - Round 1,551.900,no,4,,,,782:FS:0,,
919,Run Macro Trials at Labs/Sites - Round 2,551.900,no,4,,,,802:FS:0;850:FS:0;872:FS:0;893:FS:0;902:FS:0,,
920,Supply Chain PC Readiness,551.900,no,3,,,,921:FS:0;922:FS:0;923:FS:0;924:FS:0;925:FS:0,,
921,Material Supplier FMECA & TFS,551.900,no,4,,,,718:FS:0;712:FS:0,,
922,Confirm material supply usage/availability,551.900,no,4,,,,718:FS:0;712:FS:0,,
923,Agreement with Supply Network design (Mat'l Delivery Strategy),1248.800,no,4,,,,949:FS:0;718:FS:0;712:FS:0,,
924,Supplier base capability/reliability - High Level Analysis,551.900,no,4,,,,,,
925,Formulate strategy for PtD time inventory cost,551.900,no,4,,,,,,
926,PC Financials,551.900,no,3,,,,927:FS:0;928:FS:0;945:FS:0;948:FS:0,,
927,Commercial and Financial Assessment of New SKU's,551.900,no,4,,,,440:FS:0,,
928,Initiative Economics,551.900,no,4,,,,,,
945,PC Prep,551.900,no,4,,,,690:FS:0;691:FS:0;693:FS:0,,
948,PC Project Specific Items,551.900,no,4,,,,,,
950,Launch Authorization/Launch Plan Agree.  Readiness,696.900,no,1,,,,951:FS:0;962:FS:0;965:FS:0;1138:FS:0,,
951,LA/LPA Market Readiness,696.900,no,2,,,,952:FS:0;961:FS:0,,
952,Customer Selling Strategy Final,696.900,no,3,,,,953:FS:0;954:FS:0;955:FS:0;956:FS:0;957:FS:0;958:FS:0;959:FS:0;960:FS:0,,
953,Pricing final,14010.000,no,4,,,,939:FS:0;5:FS:0,,
954,"Customer plans in place for DPSM (Distribution, Pricing, Shelving, Merchandising)/MDA",13313.100,no,4,,,,953:FS:0;170:FS:0,,
955,Update CVA,2787.600,no,4,,,,954:FS:0,,
956,Price List Order Guide (PLOG) data updated,2090.700,no,4,,,,954:FS:0;5:FS:0;955:FS:0,,
957,Plan Letter in place,2787.600,no,4,,,,954:FS:0;5:FS:0,,
958,"Presentations (GBU, Multi GBU, Retail)",2090.700,no,4,,,,957:FS:0;5:FS:0,,
959,By channel financial & demand plans linked (BU & MO),4253.400,no,4,,,,954:FS:0;5:FS:0,,
960,Finalize GBP(field release) materials,1393.800,no,4,,,,959:FS:0;958:FS:0;5:FS:0;956:FS:0,,
961,Commercial IP strategy final (Freedom to Practice (FTP) approved),696.900,no,3,,,,167:FS:0;5:FS:0,,
962,Release to Field (GBP) Prep,696.900,no,2,,,,963:FS:0;964:FS:0,,
963,Initiate Data Entry Form (DEF),696.900,no,3,,,,78:FS:0;79:FS:0;80:FS:0;954:FS:0,,
964,Update Shopper Based Design,19122.100,no,3,,,,166:FS:0;390:FS:0,,
965,LA/LPA Commercial Readiness,696.900,no,2,,,,966:FS:0;967:FS:0;968:FS:0;969:FS:0;970:FS:0;971:FS:0;972:FS:0;973:FS:0;974:FS:0;993:FS:0;997:FS:0,,
966,Updates Marketing Plans Based on Pre-Table Top,12544.200,no,3,,,,319:FS:0,,
967,Legal concurrence of Mktg (final) MNI,696.900,no,3,,,,722:FS:0;987:FS:0,,
968,TPA complete (to incl. trial plans),1393.800,no,3,,,,5:FS:0,,
969,Leverage plan approved,1393.800,no,3,,,,5:FS:0;966:FS:0,,
970,Tabletop approved,2787.600,no,3,,,,1018:FS:0;1028:FS:0;994:FS:0;995:FS:0;996:FS:0;1026:FS:0;1023:FS:0;1022:FS:0;1007:FS:0;992:FS:0;1006:FS:0,,
971,MRAT Completed w/MDO,696.900,no,3,,,,970:FS:0;960:FS:0;968:FS:0;969:FS:0,,
972,Initiative toolbox element complete,696.900,no,3,,,,185:FS:0;970:FS:0,,
973,Initiative tracker set-up,696.900,no,3,,,,970:FS:0,,
974,Final Proof of Claim (POC)/Claims Approval to Support all Mktg Elements,696.900,no,3,,,,975:FS:0,,
975,Product Available for R1 POCs (on-pack),696.900,no,4,,,,569:FS:0;709:FS:0;710:FS:0;711:FS:0;640:FS:0,,
993,360 Mktg plan approved,696.900,no,3,,,,994:FS:0;995:FS:0;996:FS:0,,
994,Country XX,3484.500,no,4,,,,966:FS:0,,
995,Country XX,3484.500,no,4,,,,966:FS:0,,
996,Country XX,3484.500,no,4,,,,966:FS:0,,
997,Initiative toolbox elements complete,696.900,no,3,,,,998:FS:0;1029:FS:0,,
998,TV Plans - Advertising Copy,696.900,no,4,,,,,,
1029,LA/LPA Artwork,696.900,no,4,,,,,,
1138,LA/LPA Technical Readiness,696.900,no,2,,,,1139:FS:0;1174:FS:0;1206:FS:0;1220:FS:0;1238:FS:0;1306:FS:0,,
1139,LA General Technical Readiness,696.900,no,3,,,,1140:FS:0;1141:FS:0;1142:FS:0;1143:FS:0;1144:FS:0;1145:FS:0;1146:FS:0;1147:FS:0;1148:FS:0;1149:FS:0;1150:FS:0;1151:FS:0;1152:FS:0;1153:FS:0,,
1140,Prepare TRA,696.900,no,4,,,,,,
1141,"GTRO Updated (Risks summary, Learning plan & dashboard)",696.900,no,4,,,,,,
1142,Prepare TT&T plans,696.900,no,4,,,,,,
1143,IP strategy complete,696.900,no,4,,,,,,
1144,Patent & TM issues resolved,696.900,no,4,,,,,,
1145,POC template complete & approved,696.900,no,4,,,,722:FS:0,,
1146,Regulatory issues resolved,2138.700,no,4,,,,,,
1147,Agreement to Supply Network design,696.900,no,4,,,,923:FS:0;1256:FS:0,,
1148,"TFS, PFS & Controls strategy final",696.900,no,4,,,,687:FS:0;689:FS:0,,
1149,Finalize layouts/models/flow sheets,696.900,no,4,,,,693:FS:0,,
1150,CBDR #3,1393.800,no,4,,,,693:FS:0,,
1151,ISU #3,696.900,no,4,,,,690:FS:0,,
1152,CBDR #4,696.900,no,4,,,,1150:FS:0;1366:FS:0,,
1153,Specs & Stds,696.900,no,4,,,,,,
1174,LA/LPA Product Tech Ready,696.900,no,3,,,,1175:FS:0;1198:FS:0,,
1175,Scale up for Start-up,696.900,no,4,,,,,,
1198,Product/Making CQV,696.900,no,4,,,,,,
1206,LA/LPA Process Tech Ready,696.900,no,3,,,,1207:FS:0;1213:FS:0;1217:FS:0,,
1207,New Material Readiness,696.900,no,4,,,,,,
1213,Other Formula Equipment,696.900,no,4,,,,,,
1217,Other Materials new on Site,696.900,no,4,,,,,,
1220,LA/LPA Package Tech Ready,696.900,no,3,,,,1221:FS:0;1222:FS:0,,
1221,Handover process to MPO approved,696.900,no,4,,,,,,
1222,LA/LPA Packing Readiness - CQV 1,696.900,no,4,,,,,,
1238,LA Supply Chain Readiness,696.900,no,3,,,,1239:FS:0;1240:FS:0;1272:FS:0;1299:FS:0,,
1239,Lock the Preliminary Customer Conversion Plan (80/20),696.900,no,4,,,,52:FS:0;53:FS:0;54:FS:0;55:FS:0;56:FS:0;57:FS:0;59:FS:0;60:FS:0;61:FS:0;62:FS:0;63:FS:0,,
1240,Demand Planning,696.900,no,4,,,,,,
1272,Warehousing & Transportation Strategy & Planning,696.900,no,4,,,,,,
1299,Material Qualification,696.900,no,4,,,,,,
1306,LA/LPA Financials,696.900,no,3,,,,1307:FS:0;1326:FS:0,,
1307,Initiative Economics,696.900,no,4,,,,,,
1326,LA/LPA Prep,696.900,no,4,,,,,,
1329,Delivery JFM,720.900,no,1,,,,1330:FS:0;1348:FS:0;1364:FS:0;1378:FS:0;1388:FS:0;1398:FS:0,,
1330,Marketing Plan Execution,720.900,no,2,,,,1331:FS:0;1335:FS:0;1336:FS:0;1340:FS:0;1341:FS:0,,
1331,TV Plans - Advertising Copy (incl anthem finish and copy testing),1441.800,no,3,,,,1332:FS:0;1333:FS:0;1334:FS:0,,
1332,Anthem approved,1441.800,no,4,,,,1007:FS:0;1016:FS:0,,
1333,USH Approved,1441.800,no,4,,,,1007:FS:0;1016:FS:0,,
1334,Copy Testing results,1441.800,no,4,,,,1007:FS:0;1016:FS:0,,
1335,Print Execution,1441.800,no,3,,,,1018:FS:0,,
1336,Digital Execution,720.900,no,3,,,,1337:FS:0;1338:FS:0;1339:FS:0,,
1337,Digital Execution,1441.800,no,4,,,,1023:FS:0,,
1338,Search Execution,1441.800,no,4,,,,1023:FS:0,,
1339,iMedia Execution,1441.800,no,4,,,,1023:FS:0,,
1340,In Store Execution,1441.800,no,3,,,,1027:FS:0,,
1341,Print Tools,720.900,no,3,,,,1342:FS:0;1343:FS:0,,
1342,PDR 1 (Artwork Round 1) Print Tools - date needed,2883.600,no,4,,,,1055:FS:0,,
1343,PDR 2 (Artwork Round 2) Print Tools - date needed,1441.800,no,4,,,,1342:FS:0,,
1348,Customization Milestone (Noted Countries),720.900,no,2,,,,1349:FS:0;1350:FS:0;1351:FS:0;1352:FS:0;1353:FS:0;1354:FS:0;1355:FS:0;1356:FS:0;1357:FS:0;1358:FS:0;1359:FS:0;1360:FS:0;1361:FS:0;1362:FS:0;1363:FS:0,,
1349,C&F Submitted,10813.500,no,3,,,,6:FS:0,,
1350,Design Frozen,10092.600,no,3,,,,1349:FS:0,,
1351,Case Weights & Measures (CW&M) attached to C&F,9371.700,no,3,,,,1350:FS:0,,
1352,C&F Final,8650.800,no,3,,,,1351:FS:0,,
1353,PDR submitted into ePadex,7929.900,no,3,,,,1352:FS:0,,
1354,GBP Release,7209.000,no,3,,,,1353:FS:0,,
1355,Demand Flowing,6488.100,no,3,,,,1354:FS:0,,
1356,Art Files Released to CM,5767.200,no,3,,,,1355:FS:0,,
1357,Manual Approved,5046.300,no,3,,,,1356:FS:0,,
1358,CRWS Approved,4325.400,no,3,,,,1357:FS:0,,
1359,PR Approved,3604.500,no,3,,,,1358:FS:0,,
1360,Feeder Stock (Product Packaged into currogate displays),2883.600,no,3,,,,1359:FS:0,,
1361,Customization Product at Location to build displays,2162.700,no,3,,,,1360:FS:0,,
1362,C:D Analysis of High side demand,1441.800,no,3,,,,959:FS:0;1361:FS:0,,
1363,Conversion remnant plan approved,720.900,no,3,,,,959:FS:0;1362:FS:0,,
1364,Packing Delivery,720.900,no,2,,,,1365:FS:0;1366:FS:0;1367:FS:0;1368:FS:0;1369:FS:0;1370:FS:0;1371:FS:0,,
1365,EI Mechanical 90% Development & IFC,720.900,no,3,,,,,,
1366,EI Electrical 90% Development & IFC,1417.800,no,3,,,,,,
1367,Remaining Line Equipment Mech Sourcing Line (remaining lines),7929.900,no,3,,,,,,
1368,Remaining Line Equipment Elec Sourcing Line (remaining Lines),7929.900,no,3,,,,,,
1369,Remaining Line Equipment Mech Purchase (remaining lines),7209.000,no,3,,,,1367:FS:0,,
1370,Remaining Line Equipment Elec Purchase (remaining lines),7209.000,no,3,,,,1368:FS:0,,
1371,Post LA Construction,720.900,no,3,,,,1372:FS:0;1373:FS:0;1374:FS:0;1375:FS:0;1376:FS:0;1377:FS:0,,
1372,Construction Planning on line A,4325.400,no,4,,,,1369:FS:0;1370:FS:0,,
1373,Line A Construction,3604.500,no,4,,,,1372:FS:0,,
1374,Construction Planning line B,2162.700,no,4,,,,1369:FS:0;1370:FS:0;1379:FS:0,,
1375,Line B Construction,1441.800,no,4,,,,1374:FS:0,,
1376,Construction Planning C,2162.700,no,4,,,,,,
1377,Line C Construction,1441.800,no,4,,,,1376:FS:0,,
1378,CQV 2 (Product & Packing),720.900,no,2,,,,1379:FS:0;1380:FS:0;1381:FS:0;1382:FS:0;1383:FS:0;1384:FS:0,,
1379,Line A - CQV (Dates and Variants),2883.600,no,3,,,,1373:FS:0,,
1380,Line B - CQV (Dates and Variants),720.900,no,3,,,,1375:FS:0,,
1381,Line C - CQV (Dates and Variants),720.900,no,3,,,,1377:FS:0,,
1382,Remaining 2 Formulas/Packages (list variants here),720.900,no,3,,,,,,
1383,Line D CQV - assumed part of inventory build,1441.800,no,3,,,,,,
1384,Line E CQV - assumed part of inventory build,720.900,no,3,,,,1383:FS:0,,
1388,Sales Samples,720.900,no,2,,,,1389:FS:0;1390:FS:0;1391:FS:0;1395:FS:0;1396:FS:0;1397:FS:0,,
1389,Order Label/Artwork Materials,5046.300,no,3,,,,171:FS:0,,
1390,Primary Pack Production,2162.700,no,3,,,,1389:FS:0,,
1391,Label Production,2162.700,no,3,,,,1389:FS:0,,
1395,Sales Sample Primary Pack Delivery to Sampling Solutions,2162.700,no,3,,,,1389:FS:0,,
1396,Sales Sample Assembly at Sampling Solutions,1441.800,no,3,,,,1390:FS:0;1391:FS:0;1395:FS:0,,
1397,Agency Sales Samples Delivery,720.900,no,3,,,,1396:FS:0,,
1398,Production Operating Strategy,720.900,no,2,,,,1399:FS:0;1401:FS:0;1415:FS:0;1448:FS:0;1457:FS:0;1464:FS:0;1471:FS:0,,
1399,Launch Organization Team Design,720.900,no,3,,,,1400:FS:0,,
1400,Shipment deployment Need internal or external to the PSC,720.900,no,4,,,,,,
1401,Warehouse & Transportation Start-up,720.900,no,3,,,,1402:FS:0;1408:FS:0,,
1402,Secure warehouse space,720.900,no,4,,,,,,
1408,Whse/Transp Readiness,720.900,no,4,,,,,,
1415,Remnant Management Plans,720.900,no,3,,,,1416:FS:0;1417:FS:0;1418:FS:0;1419:FS:0;1420:FS:0;1421:FS:0;1422:FS:0;1423:FS:0;1424:FS:0,,
1416,Develop Remnant Strategy,720.900,no,4,,,,,,
1417,Fill vs scrap decision on reshippers initial evaluation,720.900,no,4,,,,,,
1418,Secondary market/remnant,720.900,no,4,,,,,,
1419,Fill vs scrap decision on reshippers final look,720.900,no,4,,,,,,
1420,Execute scrap,720.900,no,4,,,,,,
1421,"Manage visibility of remnants - what we have left; consolidating them, etc",720.900,no,4,,,,,,
1422,Overall strategy of remnants (from MS&P),720.900,no,4,,,,,,
1423,Is there any end date to move old product into market through NPI disposition,720.900,no,4,,,,,,
1424,FSCI Plans - Runout of Current / Merchandising Impact,720.900,no,4,,,,,,
1448,Orders,720.900,no,3,,,,1449:FS:0;1450:FS:0;1451:FS:0;1452:FS:0;1453:FS:0;1454:FS:0;1455:FS:0;1456:FS:0,,
1449,Understand SAP ordering systems capability for potential Forecast / Order Compliance Interventions; CSO - OMA Education Program,720.900,no,4,,,,,,
1450,PSC org up to speed,720.900,no,4,,,,,,
1451,Daily Processes,720.900,no,4,,,,,,
1452,First Delivery Orders Due (mimic date here from base plan),720.900,no,4,,,,,,
1453,Last Order date for FDD (mimic date here from base plan),720.900,no,4,,,,,,
1454,FDD Order Consolidation Date (mimic date here from base plan),720.900,no,4,,,,,,
1455,Last Order Date for Current Products (mimic date here from base plan),720.900,no,4,,,,,,
1456,Last Ship Date for Current Products (mimic date here from base plan),720.900,no,4,,,,,,
1457,Current Inventory Build Execution,720.900,no,3,,,,1458:FS:0;1459:FS:0;1460:FS:0;1461:FS:0;1462:FS:0;1463:FS:0,,
1458,Create builds via SAFTS in SAP,720.900,no,4,,,,,,
1459,Complete current inventory SAFTs at Pkg Supplier (Plant 1),720.900,no,4,,,,,,
1460,Complete current inventory SAFTs at Packaging Supplier (plant 2),720.900,no,4,,,,,,
1461,Complete FP SAFTs for current inventory (plant 1),720.900,no,4,,,,,,
1462,Complete FP SAFTs for current inventory (plant 2),720.900,no,4,,,,,,
1463,Current Build SOP,720.900,no,4,,,,1410:FS:0;1411:FS:0;1412:FS:0;1413:FS:0;1414:FS:0,,
1464,New Inventory Build Execution,720.900,no,3,,,,1465:FS:0;1467:FS:0;1469:FS:0,,
1465,Complete material builds at Primary Packaging Supplier,720.900,no,4,,,,,,
1467,Formula avail on site,720.900,no,4,,,,,,
1469,Complete FP SAFTs for site,720.900,no,4,,,,,,
1471,Prod/Inv Build,720.900,no,3,,,,1472:FS:0;1473:FS:0;1474:FS:0;1475:FS:0;1480:FS:0;1493:FS:0;1498:FS:0;1499:FS:0;1500:FS:0,,
1472,SMART,1441.800,no,4,,,,1146:FS:0;1197:FS:0,,
1473,G2Target complete,720.900,no,4,,,,1236:FS:0,,
1474,Readiness Report,720.900,no,4,,,,1472:FS:0,,
1475,"Materials - increased supply (totes, non SAP consumables, etc)",1441.800,no,4,,,,1293:FS:0,,
1480,"SubAssembly - new parts (caps, wraps, transitions, labels, stickers, etc)",720.900,no,4,,,,1342:FS:0;1293:FS:0;1475:FS:0;1343:FS:0,,
1493,Finished Product,720.900,no,4,,,,,,
1498,Inventory build (hard convert due to bottle sizes),720.900,no,4,,,,1205:FS:0;1170:FS:0;1495:FS:0;1496:FS:0;1497:FS:0,,
1499,Ship to RDC,1441.800,no,4,,,,,,
1500,SOS - Laundry,720.900,no,4,,,,1499:FS:0;1331:FS:0;1335:FS:0;1337:FS:0;1338:FS:0;1339:FS:0;1340:FS:0,,
